row_id,app,mode,frames,width,height,bytes_per_frame,total_ms,avg_frame_ms,fps,memcpy_mib_s,transfers,flushes,fences,first_crc,last_crc,status,claim_allowed,claim_forbidden
gfx.kmscube.sw,kmscube,cube software render plus VirtIO GPU 2D fake backend,60,640,480,1228800,117.328,1.955,511.39,599.28,60,60,120,0xe86f103d,0x49862651,pass,Native software/substrate performance for the named supported application path.,"Real QEMU performance, virgl/GPU acceleration, or full application-suite coverage."
gfx.glmark2.sw,glmark2 scene clear,clear plus VirtIO GPU 2D fake backend,120,1280,800,4096000,633.77,5.281,189.34,739.62,120,120,240,0xa2b59dc5,0x8140ddc5,pass,Native software/substrate performance for the named supported application path.,"Real QEMU performance, virgl/GPU acceleration, or full application-suite coverage."
